input_1,input_2,input_3,input_4,objective_1
60,0,0,0,6.859367583359999
120,0,0,0,13.324229615999998
180,0,0,0,20.3833784064
240,0,0,0,20.8257966432
300,0,0,0,21.268214880000002
0,75,0,0,12.0101303616
0,150,0,0,20.6911399296
0,225,0,0,27.7936288608
0,300,0,0,33.3985949376
0,0,75,0,9.28649573376
0,0,150,0,12.963154982399999
0,0,225,0,16.4590541856
0,0,300,0,16.1768727072
0,0,0,60,13.133805888
0,0,0,120,19.9873396032
0,0,0,180,21.131917008000002
0,0,0,240,21.2732091936
0,0,0,300,15.126569654399999
